연번,운영상태, 기관명, 기관종류, 급여종류, 주소, 전화번호, 팩스번호
164,운영,으뜸재가복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 원거리9길 20-1, 2층 (원성동)",041-561-8809,041-621-8809
165,운영,으뜸재활주간보호센터,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 동남구 서부대로 257-13, 301호 (신방동)",041-574-3111,041-574-3115
166,운영,은솔노인주간보호센터,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 동남구 다가13길 7 (다가동),041-574-6300,041-574-6301
167,운영,은혜노인복지센터,시설급여제공 장기요양기관,노인요양공동생활가정,"충청남도 천안시 서북구 성거읍 봉주로 93, 502호",041-584-7333,041-583-2333
168,운영,은혜노인복지센터 부설 노인주야간보호센터,재가장기요양기관,주야간보호,"충청남도 천안시 서북구 성거읍 봉주로 93, 502호 (천우빌딩)",041-584-7333,041-583-2333
169,운영,은혜재가복지센터,재가장기요양기관,"방문요양,방문목욕,복지용구제공사업소",충청남도 천안시 서북구 성환읍 성환리 449번지 135호,041-588-7051,041-588-7052
170,운영,의료기백화점,재가장기요양기관,복지용구제공사업소,"충청남도 천안시 동남구 천안여상로 59, 105, B01호 (봉명동)",041-571-8985,041-571-8986
171,운영,이웃사랑노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 성환읍 성월수향길 30, 2층",041-583-2646,041-583-0692
172,운영,이원건강의료기천안역점,재가장기요양기관,복지용구제공사업소,"충청남도 천안시 동남구 대흥로 251 (대흥동,화성빌딩 1층)",041-555-2177,041-556-2177
173,운영,이화노인복지센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 서북구 성환읍 성환13길 4-1, 2층",041-909-6130,041-909-6132
174,운영,이화엔젤스요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 대흥로 336-4 (신부동),041-621-1260,041-621-1241
175,운영,인케어 재가복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 성정로 82, 2층 (성정동, 후생빌딩, 사랑의메디칼의원)",041-571-8291,041-571-8291
176,운영,일등요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 직산읍 삼은2길 22-5,041-585-0111,041-587-0666
177,운영,일등요양원 병설 주간보호센터,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 서북구 직산읍 삼은2길 22-5,041-585-0111,041-587-0666
178,운영,입장노인복지센터,재가급여제공 장기요양기관,"방문요양,주야간보호","충청남도 천안시 서북구 입장면 하장4길 45, A동 1,2층",041-588-3864,050-5720-3864
179,운영,입장노인재가복지센터,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 입장면 입장로 130 (대원빌딩 4층),041-588-3864,041-587-3864
180,운영,입장실버복지센터,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 입장면 하장4길 16,041-523-8004,050-5720-3864
181,운영,입장실버복지센터,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 입장면 하장4길 16,041-523-8004,050-5720-3864
182,운영,입장한옥실버센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 입장면 하장4길 45, c동 1층",041-588-3864,050-5720-3864
183,운영,재가방문요양목욕센터 마이트리,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 동남구 공설시장2길 8-9 (문화동),041-561-8005,041-562-8005
184,운영,정다운요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 오성로 103, 8층 801호 (두정동)",041-555-4499,041-568-5838
185,운영,제일메디컬,재가급여제공 장기요양기관,복지용구제공사업소,"충청남도 천안시 동남구 성남면 석곡3길 8, 1층 103호",041-553-3524,041-552-3524
186,운영,젬마의집,시설급여제공 장기요양기관,노인요양공동생활가정,충청남도 천안시 동남구 용곡동 용곡1차세광엔리치타워아파트 107동 502호,041-579-5583,041-579-5584
187,운영,좋은아침요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 성성10길 32 (성성동),041-556-0010,041-566-1868
188,운영,주소망요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 풍세면 미죽로 410,041-564-9987,041-564-9986
189,운영,주원의료기&복지용구,재가장기요양기관,복지용구제공사업소,충청남도 천안시 동남구 중앙로 64 (영성동),041-555-5519,041-908-8877
190,운영,중앙노인재가복지센터,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 서북구 부대중앙길 28 (부대동),041-523-5423,041-555-0874
191,운영,직산플래티늄요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 직산읍 봉주로 137-29 (1동,2동)",041-906-2000,041-906-2090
192,운영,참사랑복지센터,재가급여제공 장기요양기관,"방문요양,주야간보호",충청남도 천안시 서북구 성환읍 대학로 26,041-582-0560,041-582-2660
193,운영,참조은 주야간보호센터,재가장기요양기관,주야간보호,충청남도 천안시 동남구 다가4길 4-3 (다가동),041-577-9988,041-577-9901
194,운영,참조은요양원,시설급여제공 장기요양기관,노인요양공동생활가정,"충청남도 천안시 서북구 동서대로 110-21, B동 301호 (성정동, 은성빌딩)",041-575-0050,041-577-0051
195,운영,참조은요양원병설주간보호센터,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 서북구 동서대로 110-21, 3층 (성정동)",041-575-0050,041-577-0051
196,운영,참조은집,시설급여제공 장기요양기관,노인요양공동생활가정,"충청남도 천안시 서북구 동서대로 110-21, B동 201호 (성정동, 은성빌딩)",041-572-0020,041-572-0266
197,운영,참조은집 병설 단기보호,재가급여제공 장기요양기관,단기보호,"충청남도 천안시 서북구 동서대로 110-21, 2층 (성정동)",041-572-0020,041-572-0266
198,운영,천사재가복지센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 충절로 132, 2층 (원성동)",041-523-0508,041-557-0508
199,운영,천안 고향의집,시설급여제공 장기요양기관,노인요양공동생활가정,충청남도 천안시 동남구 우영3길 21 (봉명동),041-574-7501,041-574-7502
200,운영,천안365주간보호,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 서북구 오성로 107, 403호 (두정동)",1668-0440,041-555-1185
201,운영,천안고향의집병설재가노인복지센터,재가급여제공 장기요양기관,"방문요양,주야간보호",충청남도 천안시 동남구 우영3길 동남구 우영3길  21 (봉명동),041-574-7501,041-574-7502
202,운영,천안구구팔팔주간보호센터,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 서북구 월봉11길 20, 403호 (쌍용동)",041-572-9980,041-572-9989
203,운영,천안노인전문요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 정골2길 97 (구성동),041-555-1601,041-555-7591
204,운영,천안노인주간보호센터,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 서북구 한들1로 55-29, 2층 (백석동, 한울빌딩)",041-567-8259,041-566-3288
205,운영,천안도우누리재가노인복지센터,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 동남구 다가말2길 86-1, 1층 (다가동)",041-417-0350,041-573-0615
206,운영,천안메디케어요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 검은들1길 20, 801호 (불당동)",041-417-7008,070-8277-7008
207,운영,천안사랑비전센터,재가장기요양기관,"방문요양,방문목욕,주야간보호",충청남도 천안시 서북구 성거읍 천흥4길 72-7,041-622-7871,041-622-7873
208,운영,천안삼거리요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 목천읍 동평1길 65,041-567-0987,041-900-0987
209,운영,천안시노인종합복지관부설 천안노인복지센터,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 서북구 미라11길 16 (쌍용동),041-571-0286,041-571-0619
210,운영,천안시노인종합복지관부설 천안노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 미라11길 16 (쌍용동),041-571-0286,041-571-0619
211,운영,천안실버안요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 동남구 천안대로 215, 3층 (삼룡동)",041-410-3100,041-410-3101
212,운영,천안아산노인복지센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 서북구 쌍용11길 57, 상가동 205호 (쌍용동)",041-579-2005,041-572-0917
213,운영,천안아산복지용구센터,재가장기요양기관,복지용구제공사업소,"충청남도 천안시 서북구 월봉7길 32-1, 102호 (쌍용동)",041-579-2320,041-579-2321
214,운영,천안우리방문요양센터,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 축구센터로 67 (성정동),041-574-8591,042-367-0808
215,운영,천안우리요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 축구센터로 67 (성정동),041-572-2500,042-367-0808
216,운영,천안원광은혜마을,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 직산읍 남산3길 102-87,041-587-8899,041-587-3845
217,운영,천안재가복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕,방문간호","충청남도 천안시 동남구 영성로 30, 2층 (영성동)",041-571-2800,041-522-8666
218,운영,천안제일방문요양센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 두정중5길 54-8, 1층 (두정동)",041-553-2646,041-554-2647
219,운영,천안제일요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 광풍로 1828 (청당동),041-557-8150,041-557-8151
220,운영,천안중앙요양센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 천안대로 999-7, 103동 1701호 (두정동, 천안 두정역 이안 더 센트럴)",041-908-9585,041-556-9585
221,운영,천안참사랑방문요양센터,재가장기요양기관,"방문요양,방문목욕,복지용구제공사업소","충청남도 천안시 동남구 구성10길 17, 1층 (구성동)",041-556-6480,041-556-6481
222,운영,천안큰사랑방문요양센터,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 동남구 대흥로 285 (성황동),041-551-9410,041-551-9419
223,운영,천안플래티늄요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 동서대로 135, 5층 (성정동, 에스앤제이빌딩)",041-411-2000,041-411-2039
224,운영,천안한마음방문요양센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 백석4길 12, 3층 (백석동, 거성캐슬B)",041-553-9988,041-553-9890
225,운영,천안한마음요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 백석4길 12, 3층 302호 (백석동, 거성캐슬B)",041-553-9888,041-553-9890
226,운영,천안황금빛요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 목천읍 교천2길 7,041-522-9779,041-522-4499
227,운영,천안힐링요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 미라16길 38-7 (쌍용동),041-573-0036,041-573-7008
228,운영,청담하늘채요양센터,재가장기요양기관,방문요양,충청남도 천안시 동남구 통정10로 43-12 (신방동),041-575-1888,041-575-0119
229,운영,청담하늘채요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 통정10로 43-12 (신방동),041-575-1888,041-575-0119
230,운영,청당더봄노인주간보호센터,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 동남구 청수11로 24, 4층 401호 (청당동)",041-522-7998,
231,운영,초록마을공동생활가정,시설급여제공 장기요양기관,노인요양공동생활가정,"충청남도 천안시 서북구 백석로 136, 113동 104호 (백석동, 백석현대아파트)",041-553-6565,041-553-6577
232,운영,충남빛나재가요양센터,재가급여제공 장기요양기관,"방문요양,복지용구제공사업소",충청남도 천안시 서북구 성거읍 소댕이3길 60-5,041-548-0902,041-558-0902
233,운영,충남의료기,재가장기요양기관,복지용구제공사업소,충청남도 천안시 동남구 순천향4길 50 (봉명동),041-574-0906,041-573-3520
234,운영,충무원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 목천읍 삼방로 731,041-558-7590,041-558-7592
235,운영,충청남도사회서비스원 천안종합재가센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 대흥로 292, 2층 (성황동)",041-555-5593,041-555-5583
236,운영,충청의료기상사,재가장기요양기관,복지용구제공사업소,"충청남도 천안시 동남구 대흥로 127 (사직동,1층)",041-574-1466,041-575-9033
237,운영,큰나무방문요양센터,재가장기요양기관,방문요양,"충청남도 천안시 서북구 성환읍 성환중앙로 66-9, 101호",041-585-9885,041-587-9885
238,운영,큰사랑요양원,시설급여제공 장기요양기관,노인요양공동생활가정,충청남도 천안시 서북구 두정역서4길 23 (두정동),041-523-5578,041-523-5579
239,운영,태조요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 태조산길 103-5 (유량동),041-562-7575,050-2989-9284
240,운영,패밀리케어 노인주간보호센터,재가장기요양기관,"방문요양,주야간보호,복지용구제공사업소","충청남도 천안시 서북구 봉정로 397, 3층 (두정동, 대산빌딩)",041-555-1428,041-556-1428
241,운영,퍼스트주간보호센터,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 서북구 신당새터2길 71 (신당동),041-551-7707,041-551-6707
242,운영,편안한 재가노인복지센타,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 성정동 823번지 선경(아)상가 304호,041-579-3162,041-579-3161
243,운영,평화재가노인복지센타,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 대흥로 238, 4층 (대흥동)",041-569-6775,041-569-8902
244,운영,풍세노인주야간보호센터,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 동남구 풍세면 하정길 31-3,041-557-8090,041-557-7090
245,운영,플래티늄 동남점,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 용수골길 70 (용곡동),041-904-2000,070-5153-3994
246,운영,플래티늄 천안점,재가장기요양기관,주야간보호,"충청남도 천안시 서북구 성정공원5로 21, 6층 (성정동)",041-413-2000,041-413-2098
247,운영,하나요양보호원,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 천안천공원3길 5-31, 상가동 202호 (다가동, 서해그랑블아파트)",041-555-5221,041-573-5221
248,운영,하모니노인주간보호센터,재가장기요양기관,주야간보호,충청남도 천안시 동남구 충절로 535-4 (삼룡동),041-523-2009,041-523-2019
249,운영,하은요양센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 불당5길 15, 2층 201호 (불당동)",041-567-1284,041-567-1283
250,운영,한가족노인복지센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 월봉6길 4, 2층 (쌍용동, 솔로몬빌딩)",041-574-9344,041-574-9345
251,운영,한결요양센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 충무로 422, 2층 (영성동)",041-566-3231,041-565-3231
252,운영,한마음재가복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 직산읍 봉주로 6,041-581-1020,041-587-1002
253,운영,한빛방문요양복지센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 서북구 월봉로 38, 3014호 (쌍용동)",041-573-3355,041-573-3348
254,운영,한빛재활주간보호센터,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 서북구 두정로 210, 6층 (두정동, 서올빌딩)",041-566-2547,041-566-2548
255,운영,한사랑 재가복지센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 불당8길 17-1, 101호 (불당동)",041-574-8601,041-554-8601
256,운영,해맑음재가장기요양센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 동남구 목천읍 신계1길 41, 107호 (동우아파트 상가)",041-551-7772,041-551-7773
257,운영,해바라기노인공동생활가정,시설급여제공 장기요양기관,노인요양공동생활가정,충청남도 천안시 서북구 입장면 입장시장1길 19,041-583-3864,041-587-1605
258,운영,해솔방문요양센터,재가급여제공 장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 쌍용16길 24-1 (쌍용동),041-578-8894,041-903-8894
259,운영,해피동행재가노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 월봉5길 39-6, 203호 (쌍용동)",041-579-5343,070-8945-4598
260,운영,해피엘림노인주야간보호센터,재가장기요양기관,주야간보호,"충청남도 천안시 동남구 풍세로 769-28, 210동 202호 (용곡동, 용곡마을 세광2차엔리치타워아파트)",041-552-6004,041-579-6007
261,운영,해피투게더재가방문요양센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 청당2길 118, 108동 207호 (청당동, 청당마을벽산블루밍아파트)",041-563-9595,041-569-9595
262,운영,해피하우스노인복지센터,재가장기요양기관,"방문요양,방문목욕,주야간보호","충청남도 천안시 동남구 광풍로 1822, 6층 (청당동, 아이지타워)",041-575-2015,041-575-2017
263,운영,행복나눔노인요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 태조산길 266 (유량동),041-523-7555,041-621-9555
264,운영,행복나무재가복지센터,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 백석동 919번지 벽산블루밍1차아파트  104동 802호,041-555-5998,070-8819-2998
265,운영,행복드림요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 양지2길 28 (봉명동),041-418-3275,041-418-3288
266,운영,행복드림주야간보호,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 동남구 양지2길 28 (봉명동),041-418-3275,041-418-3288
267,운영,행복미소의집,시설급여제공 장기요양기관,노인요양공동생활가정,"충청남도 천안시 서북구 백석로 136, 113동 301호 (백석동, 현대아파트)",041-555-8755,041-522-8755
268,운영,행복복지용구,재가장기요양기관,복지용구제공사업소,충청남도 천안시 서북구 양지22길 3 (성정동),041-573-0888,041-592-2509
269,운영,행복재가요양센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 공설시장1길 31-1, 1층 (대흥동)",041-556-2966,041-556-2967
270,운영,행복한재가복지센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 동남구 원성18길 5-1, 1층 (원성동)",041-553-4848,041-548-4840
271,운영,행복효요양센터,재가장기요양기관,방문요양,"충청남도 천안시 동남구 신용로 64, B동 2층 5호 (다가동, 천안기계공구상가)",041-575-3173,041-578-3173
272,운영,현대방문요양센터,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 동남구 버들로 153 (원성동),070-8841-7411,041-553-7411
273,운영,현대의료기,재가장기요양기관,복지용구제공사업소,충청남도 천안시 서북구 다가말3길 16 (쌍용동),041-573-8114,041-573-9559
274,운영,호서노인전문요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 충절로 535-18 (삼룡동),041-558-7772,041-558-7774
275,운영,효나눔재가노인복지센터,재가장기요양기관,방문요양,"충청남도 천안시 동남구 먹거리8길 44, 3층 (신부동)",041-622-7457,041-622-7458
276,운영,효누리요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 오성로 107, 8층 (두정동)",041-555-5570,041-555-4570
277,운영,효드림복지용구센터,재가급여제공 장기요양기관,복지용구제공사업소,충청남도 천안시 서북구 성환읍 성환중앙로 35,041-581-0110,041-581-0110
278,운영,효드림재가복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 성환읍 성환중앙로 55, 1층",041-904-7321,041-909-7322
279,운영,효어르신주간보호센터,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 서북구 천안천6길 27 (성정동),041-578-9933,041-551-9934
280,운영,효자의 집,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 충절로 535-18 (삼룡동),041-558-7775,041-558-7771
281,운영,희망장기요양센터,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 성환읍 신방로 467,041-587-2010,041-587-5188
282,운영,희망재가관리센터,재가장기요양기관,방문요양,"충청남도 천안시 서북구 입장면 입장로 115, 1동 402호 (영화빌리지)",041-583-4798,041-583-4799
283,운영,희망재가노인복지센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 동남구 신원3길 34, 1동 103호 (신부동, 극동아파트)",041-553-6594,041-554-6594
